Tipo de actividad,Fecha,Favorito,Título,Distancia,Calorías,Tiempo,Frecuencia cardiaca media,FC máxima,TE aeróbico,Cadencia de carrera media,Cadencia de carrera máxima,Ritmo medio,Ritmo óptimo,Ascenso total,Descenso total,Longitud media de zancada,Relación vertical media,Oscilación vertical media,Tiempo medio de contacto con el suelo,Equilibrio medio de tiempo de contacto con el suelo,Training Stress Score®,Pasos,Repeticiones totales,Series totales,Temperatura mínima,Descompresión,Mejor tiempo de vuelta,Número de vueltas,Temperatura máxima,Tiempo en movimiento,Tiempo transcurrido,Altura mínima,Altura máxima
Carrera,2026-07-09 19:23:33,false,"Vitacura Carrera","7.01","531","00:40:59","147","160","3.2","154","161","5:51","5:18","36","37","1.11","11.1","12.6","284","50.3 % izquierda / 49.8 % derecha","0.0","6,238","--","--","20.0","No","00:00:03.5","8","27.0","00:40:16","00:44:54","668","703"
Carrera,2026-07-07 19:51:33,false,"Vitacura Carrera","7.82","617","00:45:46","155","180","3.9","140","168","5:51","4:07","47","58","1.21","9.4","11.5","286","50.2 % izquierda / 49.8 % derecha","0.0","6,412","--","--","18.0","No","00:00:02.4","19","28.0","00:41:41","00:51:08","667","705"
Carrera,2026-07-04 10:33:11,false,"Vitacura Carrera","3.57","270","00:19:38","152","167","2.8","161","168","5:30","5:01","10","102","1.12","10.3","11.8","275","50.6 % izquierda / 49.4 % derecha","0.0","3,138","--","--","19.0","No","00:03:09.6","4","23.0","00:19:37","00:19:38","657","754"
Carrera,2026-07-04 09:07:03,false,"Vitacura - ICCUS 16K fondo","11.09","926","01:03:40","164","182","4.4","157","192","5:44","3:31","311","198","1.11","10.9","12.2","286","50.5 % izquierda / 49.5 % derecha","0.0","9,838","--","--","16.0","No","00:00:17.4","19","24.0","01:03:05","01:14:32","667","784"
Carrera,2026-07-02 19:25:23,false,"Vitacura - ICCUS 8K","8.02","606","00:45:19","146","159","3.5","154","161","5:39","5:12","49","37","1.14","10.9","12.6","281","50.0 % izquierda / 50.0 % derecha","0.0","6,908","--","--","15.0","No","00:00:04.7","9","25.0","00:44:43","00:47:19","657","700"
Carrera,2026-06-30 19:42:47,false,"Vitacura - ICCUS 2X2000+2X1000","9.09","696","00:49:24","158","176","4.1","155","169","5:26","4:09","88","30","1.18","10.0","11.8","273","50.4 % izquierda / 49.6 % derecha","0.0","7,544","--","--","12.0","No","00:00:01.2","13","21.0","00:49:00","01:00:17","624","684"
Carrera,2026-06-30 18:49:00,false,"Vitacura Carrera","3.70","257","00:21:31","131","142","2.2","157","162","5:49","5:11","2","37","1.08","10.7","11.8","278","49.8 % izquierda / 50.3 % derecha","0.0","3,352","--","--","22.0","No","00:00:03.0","5","26.0","00:21:04","00:44:19","650","691"
Caminar,2026-06-28 11:25:49,false,"Vitacura Caminar","1.75","149","00:28:44","100","114","0.6","76","110","16:28","6:23","23","25","0.79","--","--","--","--","0.0","2,296","--","--","24.0","No","00:03:26.5","2","28.0","00:23:12","00:28:44","692","711"
Carrera,2026-06-27 08:34:26,false,"Providencia Carrera","15.01","1,146","01:24:47","153","171","4.5","158","183","5:39","4:55","251","210","1.11","10.4","11.8","272","50.4 % izquierda / 49.6 % derecha","0.0","13,284","--","--","17.0","No","00:00:03.9","16","21.0","01:23:39","01:38:06","601","744"
Carrera,2026-06-25 18:52:53,false,"Vitacura - ICCUS 7K","7.13","534","00:40:19","146","162","3.4","155","190","5:40","4:50","41","27","1.14","10.8","12.4","282","50.4 % izquierda / 49.6 % derecha","0.0","6,196","--","--","16.0","No","00:00:43.7","8","24.0","00:39:35","00:42:54","664","699"
Carrera,2026-06-23 20:31:14,false,"Vitacura - ICCUS 2X2500+1X1000","7.97","647","00:43:42","164","184","4.3","151","183","5:29","4:05","60","46","1.20","9.4","11.5","274","50.7 % izquierda / 49.3 % derecha","0.0","6,560","--","--","12.0","No","00:00:00.7","12","18.0","00:41:16","00:51:41","637","660"
Carrera,2026-06-23 19:17:20,false,"Vitacura Carrera","1.76","128","00:10:04","142","156","2.1","158","195","5:44","5:02","1","25","1.09","10.9","12.0","273","49.8 % izquierda / 50.2 % derecha","0.0","1,586","--","--","22.0","No","00:04:05.0","2","25.0","00:09:45","00:11:04","651","670"
Carrera,2026-06-20 09:08:17,false,"Vitacura Carrera","15.57","1,193","01:21:04","164","176","5.0","160","170","5:12","4:31","189","186","1.20","9.7","11.8","265","50.5 % izquierda / 49.5 % derecha","0.0","12,890","--","--","16.0","No","00:03:04.2","16","23.0","01:20:38","01:25:54","625","771"
Carrera,2026-06-18 18:51:11,false,"Vitacura Carrera","9.19","712","00:51:46","156","182","4.2","146","192","5:38","4:09","69","71","1.20","10.2","12.2","271","50.5 % izquierda / 49.5 % derecha","0.0","7,426","--","--","16.0","No","00:00:03.8","17","23.0","00:49:31","00:55:13","660","720"
Carrera,2026-06-13 09:08:42,false,"Vitacura Carrera","15.37","1,216","01:27:02","161","176","4.9","157","169","5:40","4:51","308","304","1.12","10.7","12.2","272","50.5 % izquierda / 49.5 % derecha","0.0","13,538","--","--","20.0","No","00:02:25.8","16","25.0","01:26:41","01:33:17","663","823"
Carrera,2026-06-09 19:35:02,false,"Vitacura Carrera","6.04","479","00:33:19","161","178","3.7","147","250","5:31","4:38","63","62","1.24","10.0","12.5","275","50.7 % izquierda / 49.3 % derecha","0.0","4,860","--","--","14.0","No","00:00:06.0","9","19.0","00:30:36","00:37:18","650","691"
