Tipo de actividad,Fecha,Favorito,Título,Distancia,Calorías,Tiempo,Frecuencia cardiaca media,FC máxima,TE aeróbico,Cadencia de carrera media,Cadencia de carrera máxima,Ritmo medio,Ritmo óptimo,Ascenso total,Descenso total,Longitud media de zancada,Relación vertical media,Oscilación vertical media,Tiempo medio de contacto con el suelo,Equilibrio medio de tiempo de contacto con el suelo,Training Stress Score®,Pasos,Repeticiones totales,Series totales,Temperatura mínima,Descompresión,Mejor tiempo de vuelta,Número de vueltas,Temperatura máxima,Tiempo en movimiento,Tiempo transcurrido,Altura mínima,Altura máxima
Carrera,2026-01-13 20:23:51,false,"Vitacura - ICCUS 4X1200","5.75","470","00:33:11","163","177","3.8","146","190","5:46","3:38","52","43","1.16","9.8","11.7","293","50.1 % izquierda / 49.9 % derecha","0.0","4,750","--","--","29.0","No","00:00:00.9","13","31.0","00:31:15","00:36:25","614","637"
Carrera,2026-01-13 19:19:59,false,"Vitacura Carrera","1.45","108","00:09:02.8","137","152","2.0","153","160","6:14","5:38","7","4","1.05","11.5","12.2","281","49.9 % izquierda / 50.1 % derecha","0.0","1,366","--","--","30.0","No","00:02:43.7","2","32.0","00:08:44","00:09:45.3","669","676"
Carrera,2026-01-13 18:50:19,false,"Vitacura Carrera","2.10","150","00:12:06","135","148","2.2","152","156","5:46","5:13","30","22","1.15","11.5","13.3","277","49.5 % izquierda / 50.5 % derecha","0.0","1,814","--","--","32.0","No","00:00:33.5","3","33.0","00:12:01","00:12:08","670","693"
Carrera,2026-01-11 09:14:27,false,"Vitacura - ICCUS 45 progresivo","9.10","687","00:50:03","157","170","4.1","155","166","5:30","4:53","58","57","1.17","10.8","12.8","269","50.7 % izquierda / 49.3 % derecha","0.0","7,676","--","--","26.0","No","00:00:02.7","11","31.0","00:49:54","00:53:58","672","732"
Entreno de fuerza,2026-01-10 09:25:08,false,"Fuerza","0.00","363","00:42:41","120","149","2.1","--","--","--","--","--","--","--","--","--","--","--","0.0","36","18","3","28.0","No","00:42:41","1","30.0","00:39:22","00:42:41","--","--"
Carrera,2026-01-09 15:44:41,false,"Las Condes - ICCUS 40min","7.63","608","00:44:18","162","176","3.9","151","156","5:48","5:05","35","34","1.14","11.7","13.5","279","49.9 % izquierda / 50.1 % derecha","0.0","6,624","--","--","32.0","No","00:00:41.9","9","37.0","00:44:10","00:46:30","664","674"
Carrera,2026-01-06 19:39:37,false,"Vitacura - ICCUS 1x2000 + 3x1200","5.97","483","00:33:32","167","180","3.9","148","187","5:37","4:16","23","20","1.17","10.1","11.9","287","50.2 % izquierda / 49.8 % derecha","0.0","4,868","--","--","26.0","No","00:00:01.4","13","28.0","00:32:52","00:34:48","668","676"
Carrera,2026-01-06 19:20:59,false,"Vitacura Carrera","1.44","116","00:09:28.0","145","157","2.0","155","159","6:34","6:10","11","6","1.00","11.7","11.8","284","49.9 % izquierda / 50.1 % derecha","0.0","1,456","--","--","28.0","No","00:02:51.4","2","31.0","00:09:20","00:09:28.0","667","676"
Carrera,2026-01-06 18:48:12,false,"Vitacura Carrera","2.17","154","00:12:16","138","156","2.3","154","159","5:39","5:12","3","20","1.14","10.9","12.6","278","49.3 % izquierda / 50.7 % derecha","0.0","1,864","--","--","30.0","No","00:00:57.0","3","31.0","00:12:09","00:12:20","673","692"
Carrera,2026-01-03 10:05:21,false,"Machalí - ICCUS 45 progresivo","9.56","765","00:54:48","163","177","4.4","154","168","5:44","5:04","121","91","1.13","11.1","12.8","274","50.4 % izquierda / 49.6 % derecha","0.0","8,354","--","--","25.0","No","00:03:10.6","11","34.0","00:54:39","00:54:48","601","654"
Carrera,2026-01-01 21:13:46,false,"Vitacura - ICCUS 40min","8.00","608","00:45:03","153","164","3.8","154","159","5:38","4:55","56","48","1.15","10.9","12.7","278","49.7 % izquierda / 50.3 % derecha","0.0","6,874","--","--","26.0","No","00:00:03.5","10","32.0","00:45:03","00:45:03","690","744"
Entreno de fuerza,2025-12-31 19:20:48,false,"Fuerza","0.00","378","00:39:47","124","162","2.5","--","--","--","--","--","--","--","--","--","--","--","0.0","128","64","6","29.0","No","00:39:47","1","33.0","00:28:49","00:44:45","--","--"
Carrera,2025-12-30 19:45:47,false,"Vitacura - ICCUS 1x2000 + 3x1200","6.54","550","00:38:54","166","181","4.0","146","216","5:57","4:29","24","22","1.15","10.4","12.0","288","49.7 % izquierda / 50.3 % derecha","0.0","5,550","--","--","30.0","No","00:00:02.2","13","31.0","00:37:51","00:39:19","668","675"
Carrera,2025-12-30 19:21:28,false,"Vitacura Carrera","2.09","163","00:12:36","147","161","2.6","155","192","6:01","4:58","11","7","1.07","11.6","12.5","274","49.8 % izquierda / 50.2 % derecha","0.0","1,926","--","--","31.0","No","00:00:32.4","3","33.0","00:12:16","00:13:14","665","674"
Carrera,2025-12-30 18:45:44,false,"Vitacura Carrera","2.13","155","00:12:52","135","155","2.2","152","194","6:02","5:17","4","20","1.08","11.7","12.8","276","49.1 % izquierda / 50.9 % derecha","0.0","1,944","--","--","33.0","No","00:00:47.0","3","35.0","00:12:42","00:13:23","672","692"
Carrera,2025-12-27 21:01:36,false,"Vitacura Carrera","5.01","374","00:33:51","134","155","2.5","152","161","6:46","5:11","67","20","0.96","13.1","12.7","283","49.8 % izquierda / 50.2 % derecha","0.0","5,064","--","--","27.0","No","00:00:01.9","6","32.0","00:33:22","00:37:49","671","693"
Carrera,2025-12-23 19:14:40,false,"Vitacura - ICCUS 40min progresivo","6.47","508","00:35:14","165","178","4.2","155","163","5:27","4:54","21","24","1.19","10.7","12.9","270","50.3 % izquierda / 49.7 % derecha","0.0","5,402","--","--","28.0","No","00:00:01.7","8","31.0","00:34:46","00:37:30","659","673"
Carrera,2025-12-23 18:49:21,false,"Vitacura Carrera","2.11","157","00:12:18","141","156","2.3","154","158","5:50","4:53","2","17","1.11","11.5","13.0","278","49.9 % izquierda / 50.1 % derecha","0.0","1,874","--","--","32.0","No","00:00:34.9","3","34.0","00:12:18","00:12:18","675","691"
Carrera,2025-12-21 09:08:06,false,"Vitacura - ICCUS 10K","10.77","837","01:04:36","153","168","3.9","156","172","6:00","5:26","75","80","1.07","11.6","12.6","270","50.0 % izquierda / 50.0 % derecha","0.0","9,942","--","--","22.0","No","00:00:06.6","12","27.0","01:04:32","01:04:55","681","761"
Entreno de fuerza,2025-12-20 10:03:20,false,"Fuerza","0.00","387","00:36:03","133","167","3.3","--","--","--","--","--","--","--","--","--","--","--","0.0","118","59","1","21.0","No","00:36:03","1","27.0","00:36:03","00:47:33","--","--"
Carrera,2025-12-19 14:24:48,false,"Vitacura - ICCUS 4X300 & 2x1600 ","7.28","560","00:42:53","153","172","3.8","143","161","5:54","3:57","43","49","1.16","10.9","12.5","312","49.9 % izquierda / 50.1 % derecha","0.0","6,068","--","--","31.0","No","00:00:03.6","17","36.0","00:42:22","00:44:18","619","661"
Carrera,2025-12-16 19:20:28,false,"Vitacura - ICCUS 8k progresivo","5.89","458","00:33:15","156","171","3.7","152","187","5:39","5:04","30","14","1.17","11.3","13.4","275","50.2 % izquierda / 49.8 % derecha","0.0","5,028","--","--","31.0","No","00:00:01.3","7","33.0","00:32:32","00:36:07","663","677"
Carrera,2025-12-16 18:44:18,false,"Vitacura Carrera","2.15","155","00:12:09","143","157","2.4","150","154","5:39","5:14","28","28","1.17","11.7","13.9","278","49.4 % izquierda / 50.6 % derecha","0.0","1,808","--","--","31.0","No","00:00:45.9","3","33.0","00:12:07","00:12:09","665","693"
Carrera,2025-12-11 18:56:35,false,"Vitacura - ICCUS 14X200","8.33","647","00:46:58","161","177","4.4","156","171","5:38","4:15","60","31","1.13","10.8","12.2","272","50.0 % izquierda / 50.0 % derecha","0.0","7,208","--","--","24.0","No","00:00:49.9","30","27.0","00:46:31","01:15:08","644","675"
Carrera,2025-12-09 19:05:30,false,"Vitacura - ICCUS 8k progresivo","8.61","659","00:49:08","155","175","4.2","153","161","5:42","5:04","78","39","1.13","11.2","12.9","276","50.3 % izquierda / 49.7 % derecha","0.0","7,478","--","--","26.0","No","00:00:02.8","10","31.0","00:48:20","00:59:42","667","708"
Carrera,2025-12-08 09:44:41,false,"Vitacura - ICCUS 5K RG","5.73","431","00:42:11","135","148","2.4","148","166","7:22","6:06","30","34","0.91","12.1","11.2","316","50.1 % izquierda / 49.9 % derecha","0.0","6,210","--","--","27.0","No","00:00:04.2","7","31.0","00:42:01","00:42:11","689","720"
Entreno de fuerza,2025-12-06 10:03:27,false,"Fuerza","0.00","585","00:49:57","140","174","3.8","--","--","--","--","--","--","--","--","--","--","--","0.0","26","13","1","25.0","No","00:49:57","1","28.0","00:49:57","00:49:57","--","--"
